group,count
F11,14459
F42,15648
E26,18339
F41,22611
RE6,24546
CF1,25535
FX1,25801
DV1,26145
FX2,26470
F43,27390
RE8,28344
K-1,35546
CR1,40425
IR6,42816
IR2,46462
CU6,53998
IR0,57966
IR1,74429
IR5,90597
CR6,104715
