x,income,type,age
1348,150000,sponsorAge,51
1977,150000,sponsorAge,47
2973,150000,sponsorAge,31
3378,150000,sponsorAge,65
3778,150000,sponsorAge,50
4298,150000,sponsorAge,53
4380,150000,sponsorAge,58
5308,150000,sponsorAge,33
5506,150000,sponsorAge,50
5881,150000,sponsorAge,54
7222,150000,sponsorAge,30
9127,150000,alienAge,52
9189,150000,alienAge,26
9419,150000,alienAge,30
10048,150000,alienAge,47
11044,150000,alienAge,30
11449,150000,alienAge,29
11849,150000,alienAge,44
12369,150000,alienAge,30
12451,150000,alienAge,40
13379,150000,alienAge,25
13577,150000,alienAge,25
13952,150000,alienAge,46
15293,150000,alienAge,29
5931,149518,sponsorAge,51
14002,149518,alienAge,41
2916,149088,sponsorAge,41
10987,149088,alienAge,24
5127,148711,sponsorAge,54
13198,148711,alienAge,50
1401,148200,sponsorAge,60
9472,148200,alienAge,48
5336,148000,sponsorAge,52
13407,148000,alienAge,22
2190,145080,sponsorAge,51
10261,145080,alienAge,40
3941,145000,sponsorAge,58
12012,145000,alienAge,25
7137,144296,sponsorAge,56
15208,144296,alienAge,31
3991,144161,sponsorAge,42
12062,144161,alienAge,30
3903,144000,sponsorAge,57
6014,144000,sponsorAge,52
11974,144000,alienAge,28
14085,144000,alienAge,38
6088,143666.4,sponsorAge,35
14159,143666.4,alienAge,34
6293,143000,sponsorAge,36
14364,143000,alienAge,29
4761,142335.89,sponsorAge,25
12832,142335.89,alienAge,29
5293,142169.25,sponsorAge,50
13364,142169.25,alienAge,35
4730,142028,sponsorAge,80
12801,142028,alienAge,44
4385,141260.13,sponsorAge,36
12456,141260.13,alienAge,28
4535,140836,sponsorAge,75
12606,140836,alienAge,27
7274,140500,sponsorAge,52
15345,140500,alienAge,31
101,140000,sponsorAge,67
2234,140000,sponsorAge,45
2506,140000,sponsorAge,35
3157,140000,sponsorAge,50
3968,140000,sponsorAge,56
4343,140000,sponsorAge,46
4482,140000,sponsorAge,57
5190,140000,sponsorAge,51
5289,140000,sponsorAge,51
5880,140000,sponsorAge,41
8172,140000,alienAge,27
10305,140000,alienAge,36
10577,140000,alienAge,24
11228,140000,alienAge,26
12039,140000,alienAge,47
12414,140000,alienAge,31
12553,140000,alienAge,31
13261,140000,alienAge,40
13360,140000,alienAge,42
13951,140000,alienAge,27
3620,139500,sponsorAge,42
11691,139500,alienAge,30
4280,139349,sponsorAge,36
12351,139349,alienAge,36
4767,138325,sponsorAge,44
12838,138325,alienAge,27
51,137280,sponsorAge,40
5213,137280,sponsorAge,47
8122,137280,alienAge,38
13284,137280,alienAge,32
7765,137133.59,sponsorAge,37
15836,137133.59,alienAge,24
3678,137074,sponsorAge,59
11749,137074,alienAge,50
5425,137000,sponsorAge,54
13496,137000,alienAge,33
3568,136464,sponsorAge,56
11639,136464,alienAge,36
1495,135000,sponsorAge,40
1926,135000,sponsorAge,46
3099,135000,sponsorAge,37
3203,135000,sponsorAge,41
3586,135000,sponsorAge,45
5185,135000,sponsorAge,58
5653,135000,sponsorAge,27
6549,135000,sponsorAge,35
7697,135000,sponsorAge,65
9566,135000,alienAge,26
9997,135000,alienAge,22
11170,135000,alienAge,28
11274,135000,alienAge,19
11657,135000,alienAge,23
13256,135000,alienAge,32
13724,135000,alienAge,24
14620,135000,alienAge,24
15768,135000,alienAge,55
5604,134492,sponsorAge,41
13675,134492,alienAge,32
1132,133000,sponsorAge,34
1715,133000,sponsorAge,43
9203,133000,alienAge,29
9786,133000,alienAge,24
6516,131843,sponsorAge,33
14587,131843,alienAge,33
3137,130000,sponsorAge,57
3836,130000,sponsorAge,58
3921,130000,sponsorAge,28
4009,130000,sponsorAge,58
4426,130000,sponsorAge,46
4436,130000,sponsorAge,42
6072,130000,sponsorAge,48
6982,130000,sponsorAge,48
11208,130000,alienAge,26
11907,130000,alienAge,31
11992,130000,alienAge,27
12080,130000,alienAge,30
12497,130000,alienAge,30
12507,130000,alienAge,28
14143,130000,alienAge,46
15053,130000,alienAge,25
5217,128599,sponsorAge,45
13288,128599,alienAge,26
4292,128298,sponsorAge,48
12363,128298,alienAge,20
6909,128008,sponsorAge,36
14980,128008,alienAge,30
1302,127800,sponsorAge,50
9373,127800,alienAge,32
1096,127500,sponsorAge,58
9167,127500,alienAge,44
3385,127441.17,sponsorAge,55
11456,127441.17,alienAge,35
178,127000,sponsorAge,55
4006,127000,sponsorAge,31
8249,127000,alienAge,44
12077,127000,alienAge,29
3659,126987.69,sponsorAge,49
11730,126987.69,alienAge,24
5051,126000,sponsorAge,39
13122,126000,alienAge,31
319,125047,sponsorAge,38
8390,125047,alienAge,34
1828,125000,sponsorAge,44
2398,125000,sponsorAge,30
2647,125000,sponsorAge,36
3589,125000,sponsorAge,50
3880,125000,sponsorAge,54
5792,125000,sponsorAge,51
6299,125000,sponsorAge,38
7335,125000,sponsorAge,50
9899,125000,alienAge,24
10469,125000,alienAge,30
10718,125000,alienAge,31
11660,125000,alienAge,21
11951,125000,alienAge,22
13863,125000,alienAge,32
14370,125000,alienAge,35
15406,125000,alienAge,30
1979,124200,sponsorAge,37
10050,124200,alienAge,23
4650,124000,sponsorAge,34
12721,124000,alienAge,27
5398,123600,sponsorAge,54
13469,123600,alienAge,37
4428,123220.01,sponsorAge,37
12499,123220.01,alienAge,36
1099,123021,sponsorAge,58
9170,123021,alienAge,32
3109,122650,sponsorAge,39
11180,122650,alienAge,24
4036,122484,sponsorAge,75
12107,122484,alienAge,24
7813,122267,sponsorAge,48
15884,122267,alienAge,31
5874,122118.48,sponsorAge,59
13945,122118.48,alienAge,56
2765,122000,sponsorAge,53
5401,122000,sponsorAge,38
10836,122000,alienAge,26
13472,122000,alienAge,40
6340,120413,sponsorAge,53
14411,120413,alienAge,28
4640,120016,sponsorAge,42
12711,120016,alienAge,39
239,120000,sponsorAge,49
944,120000,sponsorAge,36
1545,120000,sponsorAge,55
1862,120000,sponsorAge,35
2625,120000,sponsorAge,38
2714,120000,sponsorAge,36
2724,120000,sponsorAge,32
2742,120000,sponsorAge,52
2818,120000,sponsorAge,34
3743,120000,sponsorAge,40
3879,120000,sponsorAge,43
3963,120000,sponsorAge,55
3998,120000,sponsorAge,54
4110,120000,sponsorAge,30
4211,120000,sponsorAge,45
5321,120000,sponsorAge,31
5571,120000,sponsorAge,45
6328,120000,sponsorAge,47
6352,120000,sponsorAge,47
6408,120000,sponsorAge,26
6454,120000,sponsorAge,63
7034,120000,sponsorAge,54
8310,120000,alienAge,25
9015,120000,alienAge,35
9616,120000,alienAge,23
9933,120000,alienAge,24
10696,120000,alienAge,29
10785,120000,alienAge,27
10795,120000,alienAge,25
10813,120000,alienAge,24
10889,120000,alienAge,38
11814,120000,alienAge,22
11950,120000,alienAge,20
12034,120000,alienAge,39
12069,120000,alienAge,33
12181,120000,alienAge,28
12282,120000,alienAge,29
13392,120000,alienAge,28
13642,120000,alienAge,30
14399,120000,alienAge,28
14423,120000,alienAge,27
14479,120000,alienAge,31
14525,120000,alienAge,43
15105,120000,alienAge,26
2679,119974,sponsorAge,40
10750,119974,alienAge,26
5891,119941,sponsorAge,43
13962,119941,alienAge,37
3361,119873,sponsorAge,41
11432,119873,alienAge,32
2942,119543.36,sponsorAge,43
11013,119543.36,alienAge,39
4134,118505.79,sponsorAge,37
12205,118505.79,alienAge,26
6260,118359,sponsorAge,47
14331,118359,alienAge,37
4392,118000,sponsorAge,53
12463,118000,alienAge,46
1492,117302.38,sponsorAge,50
9563,117302.38,alienAge,36
3889,116906.44,sponsorAge,37
11960,116906.44,alienAge,38
4034,116524.8,sponsorAge,40
12105,116524.8,alienAge,32
4326,116132,sponsorAge,62
12397,116132,alienAge,46
6359,116000,sponsorAge,35
14430,116000,alienAge,21
4450,115681.41,sponsorAge,49
12521,115681.41,alienAge,41
2170,115615,sponsorAge,58
10241,115615,alienAge,36
1721,115500,sponsorAge,28
4016,115500,sponsorAge,43
9792,115500,alienAge,24
12087,115500,alienAge,38
60,115000,sponsorAge,52
1429,115000,sponsorAge,51
1657,115000,sponsorAge,81
1663,115000,sponsorAge,48
6093,115000,sponsorAge,42
8131,115000,alienAge,29
9500,115000,alienAge,32
9728,115000,alienAge,47
9734,115000,alienAge,35
14164,115000,alienAge,23
1255,114894.26,sponsorAge,55
9326,114894.26,alienAge,28
1727,114725,sponsorAge,41
9798,114725,alienAge,38
4845,114400,sponsorAge,48
12916,114400,alienAge,32
3821,114328,sponsorAge,43
11892,114328,alienAge,39
3046,113864,sponsorAge,40
11117,113864,alienAge,37
675,113850,sponsorAge,46
8746,113850,alienAge,28
1392,113669,sponsorAge,57
9463,113669,alienAge,22
1526,113382,sponsorAge,58
9597,113382,alienAge,29
4416,113063,sponsorAge,55
12487,113063,alienAge,30
662,112486,sponsorAge,55
8733,112486,alienAge,43
1506,112400,sponsorAge,47
9577,112400,alienAge,34
2298,112321,sponsorAge,59
10369,112321,alienAge,42
2975,112238,sponsorAge,69
11046,112238,alienAge,27
5267,112000,sponsorAge,27
5766,112000,sponsorAge,55
13338,112000,alienAge,24
13837,112000,alienAge,30
4464,111990,sponsorAge,67
12535,111990,alienAge,51
3237,111241.56,sponsorAge,36
11308,111241.56,alienAge,26
630,111180,sponsorAge,46
8701,111180,alienAge,26
3618,111000,sponsorAge,77
5638,111000,sponsorAge,46
11689,111000,alienAge,43
13709,111000,alienAge,29
2876,110815,sponsorAge,55
10947,110815,alienAge,27
494,110250,sponsorAge,57
8565,110250,alienAge,40
5862,110212,sponsorAge,55
13933,110212,alienAge,39
1034,110000,sponsorAge,36
3728,110000,sponsorAge,48
3787,110000,sponsorAge,44
3823,110000,sponsorAge,41
5606,110000,sponsorAge,31
6080,110000,sponsorAge,28
6484,110000,sponsorAge,61
9105,110000,alienAge,30
11799,110000,alienAge,30
11858,110000,alienAge,21
11894,110000,alienAge,19
13677,110000,alienAge,31
14151,110000,alienAge,28
14555,110000,alienAge,32
5833,109089,sponsorAge,56
13904,109089,alienAge,29
1696,109000,sponsorAge,58
9767,109000,alienAge,24
4204,108160,sponsorAge,30
12275,108160,alienAge,23
2277,107999,sponsorAge,54
10348,107999,alienAge,46
1331,107572,sponsorAge,50
9402,107572,alienAge,30
4540,107225,sponsorAge,29
12611,107225,alienAge,23
5530,107000,sponsorAge,30
8014,107000,sponsorAge,47
13601,107000,alienAge,20
16085,107000,alienAge,30
6464,106121.5,sponsorAge,37
14535,106121.5,alienAge,20
5389,106000,sponsorAge,44
13460,106000,alienAge,41
2488,105809.84,sponsorAge,73
10559,105809.84,alienAge,30
3139,105500,sponsorAge,28
11210,105500,alienAge,25
5064,105268.8,sponsorAge,47
13135,105268.8,alienAge,36
845,105132,sponsorAge,38
8916,105132,alienAge,29
6435,105094.5,sponsorAge,47
14506,105094.5,alienAge,35
738,105066,sponsorAge,67
8809,105066,alienAge,51
1426,105000,sponsorAge,49
2151,105000,sponsorAge,60
3207,105000,sponsorAge,73
3209,105000,sponsorAge,29
3497,105000,sponsorAge,45
3896,105000,sponsorAge,46
9497,105000,alienAge,51
10222,105000,alienAge,30
11278,105000,alienAge,40
11280,105000,alienAge,26
11568,105000,alienAge,20
11967,105000,alienAge,36
1054,104740,sponsorAge,43
9125,104740,alienAge,43
3478,104703,sponsorAge,64
11549,104703,alienAge,32
3721,104687,sponsorAge,44
11792,104687,alienAge,38
4383,104500,sponsorAge,48
12454,104500,alienAge,40
1641,104008,sponsorAge,51
9712,104008,alienAge,26
1507,104000,sponsorAge,42
3873,104000,sponsorAge,54
6517,104000,sponsorAge,54
9578,104000,alienAge,19
11944,104000,alienAge,30
14588,104000,alienAge,31
4419,103816.09,sponsorAge,49
12490,103816.09,alienAge,35
4709,103763,sponsorAge,52
12780,103763,alienAge,33
6344,103551.73,sponsorAge,44
14415,103551.73,alienAge,33
370,103524,sponsorAge,34
8441,103524,alienAge,38
4807,103000,sponsorAge,62
5624,103000,sponsorAge,43
12878,103000,alienAge,41
13695,103000,alienAge,39
3519,102882.03,sponsorAge,54
11590,102882.03,alienAge,23
5524,102270,sponsorAge,41
13595,102270,alienAge,42
5000,102199,sponsorAge,44
13071,102199,alienAge,34
5595,102100,sponsorAge,34
13666,102100,alienAge,29
794,102000,sponsorAge,57
3913,102000,sponsorAge,53
4162,102000,sponsorAge,48
8865,102000,alienAge,37
11984,102000,alienAge,60
12233,102000,alienAge,38
2451,101817,sponsorAge,58
10522,101817,alienAge,26
7946,101705,sponsorAge,61
16017,101705,alienAge,53
2280,101687,sponsorAge,47
10351,101687,alienAge,26
1776,101500,sponsorAge,51
6538,101500,sponsorAge,74
9847,101500,alienAge,50
14609,101500,alienAge,55
5136,101400,sponsorAge,28
13207,101400,alienAge,24
787,101000,sponsorAge,66
5919,101000,sponsorAge,43
8858,101000,alienAge,49
13990,101000,alienAge,30
821,100768,sponsorAge,27
8892,100768,alienAge,29
144,100400,sponsorAge,35
8215,100400,alienAge,24
1647,100354,sponsorAge,62
9718,100354,alienAge,46
1861,100143.07,sponsorAge,34
9932,100143.07,alienAge,24
2384,100134,sponsorAge,60
10455,100134,alienAge,28
7073,100060,sponsorAge,36
15144,100060,alienAge,25
13,1.00E+05,sponsorAge,40
670,1.00E+05,sponsorAge,47
1240,1.00E+05,sponsorAge,55
1584,1.00E+05,sponsorAge,64
1597,1.00E+05,sponsorAge,59
1616,1.00E+05,sponsorAge,31
2038,1.00E+05,sponsorAge,66
2189,1.00E+05,sponsorAge,29
3063,1.00E+05,sponsorAge,49
3197,1.00E+05,sponsorAge,52
3475,1.00E+05,sponsorAge,71
3682,1.00E+05,sponsorAge,57
3737,1.00E+05,sponsorAge,58
3752,1.00E+05,sponsorAge,54
3865,1.00E+05,sponsorAge,31
4197,1.00E+05,sponsorAge,58
4206,1.00E+05,sponsorAge,46
5022,1.00E+05,sponsorAge,36
5241,1.00E+05,sponsorAge,54
5840,1.00E+05,sponsorAge,55
5954,1.00E+05,sponsorAge,43
6447,1.00E+05,sponsorAge,49
6491,1.00E+05,sponsorAge,65
6646,1.00E+05,sponsorAge,41
