name,id,region,region-code,value
Sao Tome and Principe,678,Africa,2,0
Saudi Arabia,682,Asia,142,9
Senegal,686,Africa,2,46
Serbia,688,Europe,150,84
Seychelles,690,Africa,2,0
Sierra Leone,694,Africa,2,120
Singapore,702,Asia,142,37
Sint Maarten (Dutch part),534,Americas,19,0
Slovakia,703,Europe,150,16
Slovenia,705,Europe,150,6
Solomon Islands,090,Oceania,9,0
Somalia,706,Africa,2,39
South Africa,710,Africa,2,133
South Georgia and the South Sandwich Islands,239,Americas,19,0
South Sudan,728,Africa,2,29
Spain,724,Europe,150,143
Sri Lanka,144,Asia,142,29
Sudan,729,Africa,2,23
Suriname,740,Americas,19,4
Svalbard and Jan Mayen,744,Europe,150,0
Sweden,752,Europe,150,107
Switzerland,756,Europe,150,24
Syrian Arab Republic,760,Asia,142,0
Taiwan,158,Asia,142,139
Tajikistan,762,Asia,142,12
Tanzania,834,Africa,2,29
Thailand,764,Asia,142,616
Timor-Leste,626,Asia,142,0
Togo,768,Africa,2,45
Tokelau,772,Oceania,9,0
Tonga,776,Oceania,9,7
Trinidad and Tobago,780,Americas,19,73
Tunisia,788,Africa,2,62
Turkey,792,Asia,142,151
Turkmenistan,795,Asia,142,4
Turks and Caicos Islands,796,Americas,19,0
Tuvalu,798,Oceania,9,0
Uganda,800,Africa,2,58
Ukraine,804,Europe,150,767
United Arab Emirates,784,Asia,142,0
United Kingdom,826,Europe,150,1221
United States of America,840,Americas,19,0
United States Minor Outlying Islands,581,Oceania,9,0
Uruguay,858,Americas,19,14
Uzbekistan,860,Asia,142,47
Vanuatu,548,Oceania,9,0
Venezuela,862,Americas,19,245
Viet Nam,704,Asia,142,0
Virgin Islands (British),092,Americas,19,0
Virgin Islands (U.S.),850,Americas,19,0
Wallis and Futuna,876,Oceania,9,0
Western Sahara,732,Africa,2,0
Yemen,887,Asia,142,42
Zambia,894,Africa,2,9
Zimbabwe,716,Africa,2,19
Somalia,706,Africa,0,0
